problem_id,game,target,studyType
2291.0,VENDINGMACHINEGA,하트,1
2292.0,VENDINGMACHINEGA,소파,1
2293.0,VENDINGMACHINEGA,치마,1
2294.0,VENDINGMACHINEGA,카레,1
2295.0,VENDINGMACHINEGA,포도,1
2296.0,VENDINGMACHINEGA,채소,1
2297.0,VENDINGMACHINEGA,피자,0
2298.0,VENDINGMACHINEGA,호수,0
2299.0,VENDINGMACHINEGA,스키,0
2300.0,VENDINGMACHINEGA,버터,0
2301.0,VENDINGMACHINEGA,배추,0
2302.0,PEAGAME,호미,0
2303.0,PEAGAME,파지,0
2304.0,PEAGAME,그추,0
2305.0,PEAGAME,시크,0
2306.0,PEAGAME,후추,0
2307.0,VENDINGMACHINEGA,도토리,0
2308.0,VENDINGMACHINEGA,케이크,0
2309.0,VENDINGMACHINEGA,스티커,0
2310.0,VENDINGMACHINEGA,하지마,0
2311.0,VENDINGMACHINEGA,마이크,0
2312.0,PEAGAME,카라메,0
2313.0,PEAGAME,다치다,0
2314.0,PEAGAME,미스트,0
2315.0,PEAGAME,토마토,0
2316.0,PEAGAME,페이퍼,0
2317.0,SNACKGAME,후지,0
2318.0,PLAYGROUND,파지,0
2319.0,PLAYGROUND,다무,0
2320.0,PLAYGROUND,머르,0
2321.0,SNACKGAME,호밤,0
2322.0,SNACKGAME,고중,0
2323.0,BOATGAME,포키,0
2324.0,BOATGAME,거비,0
2325.0,BOATGAME,기초,0
2326.0,PEAGAME,토스트,0
2327.0,PEAGAME,케이크,0
2328.0,PEAGAME,피아노,0
2329.0,MANDUGAME,비바,0
2330.0,MANDUGAME,바기,0
2331.0,PLAYGROUND,어기,0
2332.0,PLAYGROUND,비개,0
2333.0,PLAYGROUND,주시,0
2334.0,SNACKGAME,노리,0
2335.0,SNACKGAME,메모,0
2336.0,MANDUGAME,우리,0
2337.0,MANDUGAME,나모,0
2338.0,MANDUGAME,하늘,0
2339.0,MANDUGAME,장갑,0
2340.0,MANDUGAME,갈래,0
2341.0,MANDUGAME,가방,0
2342.0,HITHITGAME,보글,0
2343.0,HITHITGAME,노랑,0
2344.0,HITHITGAME,길어,0
2345.0,HITHITGAME,교실,0
2346.0,HITHITGAME,영어,0
2347.0,MANDUGAME,시다,0
2348.0,MANDUGAME,보기,0
2349.0,MANDUGAME,수두,0
2350.0,HITHITGAME,사다,0
2351.0,HITHITGAME,수비,0
2352.0,BOATGAME,청소,0
2353.0,BOATGAME,상어,0
2354.0,BOATGAME,날다,0
2355.0,HITHITGAME,장난,0
2356.0,HITHITGAME,착한,0
2357.0,HITHITGAME,달콤,0
2358.0,SNACKGAME,튜브,0
2359.0,SNACKGAME,하러,0
2360.0,SNACKGAME,우리,0
2361.0,SNACKGAME,고쳐,0
2362.0,SNACKGAME,여유,0
2363.0,MANDUGAME,잠그다,0
2364.0,MANDUGAME,컴퓨터,0
2365.0,MANDUGAME,도마뱀,0
2366.0,MANDUGAME,넘겨요,0
2367.0,MANDUGAME,태극기,0
2368.0,BOATGAME,라면,0
2369.0,BOATGAME,우산,0
2370.0,BOATGAME,배꼽,0
2371.0,BOATGAME,친구,0
2372.0,BOATGAME,덥다,0
2373.0,MANDUGAME,무섭다,0
2374.0,MANDUGAME,오렌지,0
2375.0,MANDUGAME,사진기,0
2376.0,MANDUGAME,더럽네,0
2377.0,HITHITGAME,소아,0
2378.0,HITHITGAME,보다,0
2379.0,HITHITGAME,사고,0
2380.0,PEAGAME,바이크,0
2381.0,PEAGAME,도아기,0
2382.0,PEAGAME,마커스,0
2383.0,BOATGAME,아비,0
2384.0,PEAGAME,바이,0
2385.0,PEAGAME,아가,0
2386.0,PEAGAME,바기,0
2387.0,PEAGAME,바비,0
2388.0,PEAGAME,기바,0
2389.0,PEAGAME,가수,0
2390.0,PEAGAME,소아,0
2391.0,PEAGAME,이두,0
2392.0,PEAGAME,도수,0
2393.0,PEAGAME,소수,0
2394.0,PEAGAME,수비,0
2395.0,PEAGAME,기구,0
2396.0,PEAGAME,보고,0
2397.0,PEAGAME,시도,0
2398.0,PEAGAME,두고,0
